"Gardiner Lessons 2 to 33","Hans Mion","22.7.2004","mionh@hispeed.ch","","",""
"L","E","F32( 90, 0) - O34( 0, 390) - G37( 945, 0) ","F32 - O34 - G37 ","Xsi","be timid, weak, feeble","G30v"
"L","E","G1( 0, 30) - D46( 645, 0) - I3( 630, 405) ","G1 - D46 - I3 ","Ad","be aggressive, rage, resent","G30v"
"L","E","S42( 0, 0) - G17( 375, 15) - A24( 1185, 15) ","S42 - G17 - A24 ","sxm","be powerful, with m have power over, caus. ssxm strengthen","G30v"
"L","E","G21( 0, 0) - V28( 825, 0) - S29( 1095, 0) - Z4( 1350, 435) - A13( 1875, 30) ","G21 - V28 - S29 - Z4 - A13 ","nHsy","Nubian","G30v"
"L","E","J1( 0, 0) - X1( 15, 525) - G17( 525, 15) - S20( 1455, 195) - A24( 1755, 30) ","J1 - X1 - G17 - S20 - A24 ","xtm","shut, close, seal","G30v (verb)"
"L","E","T3( 0, 0) - X1( 270, 210) - S1( 675, 0) ","T3 - X1 - S1 ","HDt","the white crown of Upper Egypt","G31v"
"L","E","S29( 0, 0) - V13( 360, 15) - O34( 420, 480) - U39( 1215, 0) - Z3( 1575, 15) ","S29 - V13 - O34 - U39 - Z3 ","sTsw","supports","G31v"
"L","E","S43( 0, 15) - Z1( 615, 0) - M3( 285, 435) ","S43 - Z1 - M3 ","mdw","staff","G31v"
"L","E","N35( 0, 0) - I10( 75, 165) - O34( 945, 0) - Z7( 1185, 450) - G37( 1860, 0) - Z2( 1875, 600) ","N35 - I10 - O34 - Z7 - G37 - Z2 ","nDsw","poverty","G31v"
"L","E","F29( 0, 0) - X1( 975, 0) - D4( 930, 540) ","F29 - X1 - D4 ","sti","pierce, transfix (with look)","G31v"
"L","E","M36( 105, 0) - D21( 0, 555) - D36( 840, 15) - Z1( 1230, 480) ","M36 - D21 - D36 - Z1 ","Dr-a","originally, formerly","G31v"
"L","E","M8( 0, 150) - G1( 960, 0) - Y1V( 1785, 0) ","M8 - G1 - Y1V ","SA","appoint, command","G31v"
"L","E","N29( 0, 165) - U1( 375, 15) - T14( 1245, 15) - Y1V( 1560, 0) ","N29 - U1 - T14 - Y1V ","qmA","nature, form","G31v"
"L","E","G43( 0, 0) - V33( 615, 150) - V33( 1005, 150) - G37( 1380, 120) ","G43 - V33 - V33 - G37 ","wgg","misery, want","G31v"
"L","E","G43( 0, 15) - W11( 645, 0) - W11( 645, 405) - G37( 1170, 120) ","G43 - W11 - W11 - G37 ","wgg","misery, want","G31v"
"L","E","R8( 0, 0) - M17( 390, 0) - X1( 660, 495) ","R8 - M17 - X1 ","it nTr","father of the god, name od a class of elder priests","G31v"
"L","E","M17( 0, 0) - Q3( 570, 45) - Y1( 255, 495) ","M17 - Q3 - Y1 ","ip","calculate, reckon, caus. sip pass in review, examine","G31v"
"L","E","O1( 105, 15) - D21( 0, 525) - G43( 930, 0) - D54( 1575, 105) ","O1 - D21 - G43 - D54 ","prw","coming forth, prw n r utterance","G31v"
"L","E","G28( 0, 165) - G17( 930, 0) - V28( 1845, 0) - D5( 2115, 270) ","G28 - G17 - V28 - D5 ","gmH","look at","G31v"
"L","E","G17( 0, 0) - D36( 930, 0) - V31( 930, 510) - M16( 1860, 0) - D1( 2370, 165) ","G17 - D36 - V31 - M16 - D1 ","mkHA","be neglectful","G31v"
"L","E","X1( 255, 15) - U15( 0, 375) - G17( 915, 0) - Y1V( 1860, 0) ","X1 - U15 - G17 - Y1V ","tm","complete, perfect","G31v"
"L","E","S29( 0, 0) - D58( 270, 0) - N14( 780, 135) - G1( 1275, 15) - M17( 2100, 15) - M17( 2385, 30) - X1( 2880, 15) - Y1( 2655, 540) ","S29 - D58 - N14 - G1 - M17 - M17 - X1 - Y1 ","sbAyt","(written) teaching, instructions","G31v"
"L","E","G43( 0, 60) - D36( 645, 0) - D21( 660, 315) - X1( 870, 555) - D56( 1500, 75) ","G43 - D36 - D21 - X1 - D56 ","wart","leg","G31v "
"L","E","S29( 0, 0) - D58( 285, 15) - V31( 795, 0) - I5( 795, 405) - A40( 1725, 15) ","S29 - D58 - V31 - I5 - A40 ","sbk","Sobek (crocodile god)","G31v (divinity)"
"L","E","N24( 0, 0) - X1( 120, 480) - Z1( 585, 420) ","N24 - X1 - Z1 ","spAt","province, nome","G31v (nomos was the name given by the Greeks to the provinces of Egypt)"
"L","E","X1( 0, 0) - O4( 0, 300) - D56( 570, 0) - D54( 1185, 150) ","X1 - O4 - D56 - D54 ","thi","violate, transgress","G31v (verb  transitive)"
"L","E","T3( 0, 0) - I10( 315, 15) - Z9( 345, 300) - G37( 960, 120) ","T3 - I10 - Z9 - G37 ","HDi","damage, destroy","G31v (verb transitive)"
"L","E","I9( 15, 0) - G1( 0, 255) - A9( 795, 225) - A24( 1320, 225) ","I9 - G1 - A9 - A24 ","fAi","carry, lift","G31v (verb)"
"L","E","N35( 0, 0) - J1( 210, 330) - N35( 915, 0) - X1( 1110, 435) - A17( 1845, 15) ","N35 - J1 - N35 - X1 - A17 ","nxnt","youth, childhood","G32v"
"L","E","D21( 0, 240) - G43( 930, 0) - D46( 1545, 0) - O40( 1680, 315) ","D21 - G43 - D46 - O40 ","rwd","stairway","G32v"
"L","E","S29( 0, 45) - N29( 630, 45) - D21( 375, 450) - J7( 1395, 0) - T2( 1380, 315) ","S29 - N29 - D21 - J7 - T2 ","sqr","smite","G32v"
"L","E","J13( 0, 0) - Z1( 390, 255) ","J13 - Z1 ","gs","side, half, di Hr gs place on one side, dispose of, kill","G32v"
"L","E","D33( 75, 0) - N35( 0, 825) - P1( 915, 285) ","D33 - N35 - P1 ","Xni","row, trans. and intrans., convey by water","G32v"
"L","E","K4( 0, 195) - G1( 930, 0) - V31( 1740, 15) - F34( 2655, 0) - Z1( 2805, 450) - A13( 3180, 0) ","K4 - G1 - V31 - F34 - Z1 - A13 ","XAk-ib","rebel","G32v"
"L","E","D37( 0, 300) - D2( 990, 0) - Z1( 1155, 495) - J13( 1530, 90) - Z1( 1860, 465) ","D37 - D2 - Z1 - J13 - Z1 ","di Hr gs","place on one side, dispose of, kill","G32v"
"L","E","D36( 0, 0) - I10( 105, 345) - V26( 765, 435) - A2( 1620, 240) ","D36 - I10 - V26 - A2 ","aD","perceive","G32v"
"L","E","N35( 0, 15) - O4( 225, 315) - G43( 915, 0) - G37( 1560, 90) ","N35 - O4 - G43 - G37 ","nhw","loss","G32v"
"L","E","T28( 105, 195) - D21( 0, 810) - A1( 1005, 0) - B1( 1680, 0) - Z2( 1200, 780) ","T28 - D21 - A1 - B1 - Z2 ","Xryw","inhabitants, people","G32v"
"L","E","G43( 0, 0) - M16( 630, 0) - G1( 1155, 0) - A24( 1980, 0) ","G43 - M16 - G1 - A24 ","wHA","hew (stone), pull up (corn)","G32v"
"L","E","D36( 15, 0) - D21( 0, 345) - D21( 0, 570) - G43( 990, 45) - X1( 1725, 15) - O38( 1620, 270) ","D36 - D21 - D21 - G43 - X1 - O38 ","arrwt","gate","G32v"
"L","E","G43( 0, 0) - X1( 645, 15) - J1( 675, 360) - D56( 1200, 30) - D54( 1830, 150) ","G43 - X1 - J1 - D56 - D54 ","wtx","flee","G32v"
"L","E","J1( 255, 0) - D21( 0, 510) - G43( 930, 15) - A15( 1560, 135) ","J1 - D21 - G43 - A15 ","xrw","enemy","G32v"
"L","E","M40( 0, 315) - X1( 285, 315) - Z1( 435, 750) - A1( 870, 0) - Z2( 840, 750) ","M40 - X1 - Z1 - A1 - Z2 ","ist","crew","G32v"
"L","E","D52( 0, 0) - X1( 15, 435) - Z4( 450, 360) ","D52 - X1 - Z4 ","mty","controller","G32v"
"L","E","S29( 0, 0) - V28( 270, 15) - G43( 555, 15) - G41( 1185, 15) - Y1V( 2115, 30) ","S29 - V28 - G43 - G41 - Y1V ","sHwy","collect","G32v"
"L","E","M17( 0, 15) - G1( 300, 0) - N37( 825, 15) - A2( 1710, 15) ","M17 - G1 - N37 - A2 ","iAS","call, n a person","G32v"
"L","E","G43( 0, 0) - F30( 630, 15) - D46( 600, 450) - A2( 1545, 15) ","G43 - F30 - D46 - A2 ","wSd","address (someone), question (someone)","G32v"
"L","E","O28( 0, 30) - J32( 300, 15) - X1( 525, 285) - A13( 1035, 0) ","O28 - J32 - X1 - A13 ","iwnty-sty","Nubian foreigner (lit. bowman)","G32v"
"L","E","V28( 0, 30) - A25( 285, 15) - A24( 1080, 0) ","V28 - A25 - A24 ","Hii","strike, smite","G32v"
"L","E","V28( 0, 30) - A25( 285, 15) - A24( 1080, 0) ","V28 - A25 - A24 ","Hii","strike, smite","G32v"
"L","E","W11( 0, 360) - V4( 510, 195) - G1( 1455, 195) - V4( 2250, 195) - G1( 3135, 150) - D1( 4125, 0) - D40( 3915, 480) ","W11 - V4 - G1 - V4 - G1 - D1 - D40 ","gwAwA","constrict, put rope round neck of","G32v"
"L","E","W11( 0, 360) - V4( 510, 195) - G1( 1455, 195) - V4( 2250, 195) - G1( 3135, 150) - D1( 4125, 0) - D40( 3915, 480) ","W11 - V4 - G1 - V4 - G1 - D1 - D40 ","gwAwA","constrict, put rope round neck of","G32v"
"L","E","S29( 0, 0) - N29( 270, 195) - G1( 705, 15) - V28( 1560, 15) - D40( 1830, 195) ","S29 - N29 - G1 - V28 - D40 ","sqAH","plaster","G32v (causative of qAH clay, mud)"
"L","E","J27( 0, 0) - W24( 315, 420) - A2( 720, 0) ","J27 - W24 - A2 ","nD","ask, inquire, nD xrt inquire after health of, greet","G32v (verb transitive)"
"L","E","W17( 0, 0) - N35( 660, 0) - X1( 870, 420) - P2( 1440, 15) ","W17 - N35 - X1 - P2 ","xnti","sail upstream, travel southward","G32v (verb)"
"L","E","D2( 225, 15) - D21( 0, 495) - X1( 1185, 0) - N1( 930, 510) ","D2 - D21 - X1 - N1 ","Hrt","heaven","G33v"
"L","E","D1( 0, 0) - Z1( 135, 495) - D21( 540, 30) - D46( 525, 495) - D56( 1470, 30) - Y1V( 2130, 30) ","D1 - Z1 - D21 - D46 - D56 - Y1V ","tp-rd","rules, principles","G33v"
"L","E","N37( 0, 0) - I9( 60, 420) - N37( 930, 0) - I9( 1005, 420) - X1( 1845, 255) - F7( 2325, 180) ","N37 - I9 - N37 - I9 - X1 - F7 ","SfSft","respect, awe, dignity","G33v"
"L","E","M17( 0, 0) - Q3( 345, 0) - X1( 825, 0) - O45( 810, 315) ","M17 - Q3 - X1 - O45 ","ipt","private chamber, harim","G33v"
"L","E","M17( 0, 0) - Z11( 285, 15) - G17( 795, 0) - Z4( 1545, 15) - M3( 2070, 30) - J1( 2055, 375) - X1( 2565, 540) - D54( 3075, 165) ","M17 - Z11 - G17 - Z4 - M3 - J1 - X1 - D54 ","imy-xt","one who goes after or accompanies","G33v"
"L","E","R4( 165, 30) - X1( 0, 390) - Q3( 510, 330) - Z8( 1125, 0) - X1( 765, 405) - Z2( 1275, 315) ","R4 - X1 - Q3 - Z8 - X1 - Z2 ","Htpt","offerings","G33v"
"L","E","V22( 0, 135) - V28( 930, 15) - M17( 1185, 15) - M17( 1455, 0) - X1( 1695, 240) - P5( 2190, 45) ","V22 - V28 - M17 - M17 - X1 - P5 ","mHyt","north wind","G33v"
"L","E","D58( 0, 30) - M17( 525, 30) - W10( 1020, 30) - F18( 810, 480) - M17( 1755, 0) - M17( 2025, 0) - X1( 2295, 15) - Z5( 2325, 285) - Y1( 2805, 30) - Z2( 2910, 450) ","D58 - M17 - W10 - F18 - M17 - M17 - X1 - Z5 - Y1 - Z2 ","biAyt","marvels, wonder","G33v"
"L","E","W14( 0, 0) - G43( 255, 15) - A2( 885, 15) ","W14 - G43 - A2 ","Hsw","singer","G33v"
"L","E","V28( 0, 0) - T28( 255, 105) - D58( 1005, 0) ","V28 - T28 - D58 ","Xry  Hbt","lector-priest","G33v"
"L","E","T28( 105, 0) - D21( 0, 555) - V28( 885, 30) - D58( 1140, 30) - W3( 1635, 15) - N5( 1845, 330) - A1( 2505, 30) ","T28 - D21 - V28 - D58 - W3 - N5 - A1 ","Xry  Hbt","lector-priest","G33v"
"L","E","S29( 0, 0) - T31( 240, 135) - G17( 1170, 30) - D54( 2085, 165) ","S29 - T31 - G17 - D54 ","sSm","lead, guide","G33v"
"L","E","G43( 0, 0) - S29( 660, 0) - J1( 990, 0) - X1( 960, 525) - O15( 1515, 0) ","G43 - S29 - J1 - X1 - O15 ","wsxt","hall, court (in temple or palace)","G33v"
"L","E","I10( 270, 0) - I9( 0, 510) - G1( 1110, 0) - N18( 1905, 0) - Z2( 2040, 435) ","I10 - I9 - G1 - N18 - Z2 ","DfA","food","G33v"
"L","E","D46( 0, 0) - O34( 15, 630) - T30( 945, 15) - O39( 1005, 555) ","D46 - O34 - T30 - O39 ","ds","flint","G33v"
"L","E","G17( 30, 0) - D36( 0, 780) - N37( 930, 120) - D21( 900, 765) - E23( 1815, 390) - G43( 2685, 135) - N2( 3345, 120) ","G17 - D36 - N37 - D21 - E23 - G43 - N2 ","mSrw","evening","G33v"
"L","E","V13( 0, 0) - N35( 0, 300) - X1( 210, 510) - T14( 945, 0) - G41( 1200, 0) - Y1( 2115, 15) - Z2( 2265, 435) ","V13 - N35 - X1 - T14 - G41 - Y1 - Z2 ","Tnt","difference","G33v"
"L","E","V28( 0, 60) - S29( 315, 60) - N29( 930, 0) - T30( 615, 285) ","V28 - S29 - N29 - T30 ","Hsq","cut off","G33v"
"L","E","E9( 0, 120) - G36( 930, 0) - D21( 915, 495) - B12( 1845, 0) ","E9 - G36 - D21 - B12 ","iwr","become pregnant","G33v"
"L","E","G36( 15, 0) - D21( 0, 585) - U2( 975, 0) - Z2( 1110, 510) ","G36 - D21 - U2 - Z2 ","wr-mAw","'Greatest-of-seers', name of the high-priest of Heliopolis","G33v"
"L","E","U24( 0, 0) - X1( 630, 15) - Y1( 405, 510) ","U24 - X1 - Y1 ","Hmt","craft, craftmanship","G33v"
"L","E","O22( 0, 0) - Z1( 1305, 0) - Y1( 945, 360) ","O22 - Z1 - Y1 ","sH","counsel","G33v"
